 id, jobs, machines, opt, makespan, guaranteed_ratio, runtime_ms, approximation_alg, fptas_alg, shelves_alg, nb_big_jobs, nb_small_jobs
 1745074115848,1000,931,79.95390095285647,114.0,RATIO_10_7,7008,TwoApproximation,CompressionApproach,OhnesorgeApproach,754,247
 1745074126302,1000,1514,60.070181444740044,85.0,RATIO_10_7,12490,TwoApproximation,CompressionApproach,OhnesorgeApproach,861,140
 1745074141206,1000,1441,62.03362922747875,88.0,RATIO_10_7,14546,TwoApproximation,CompressionApproach,OhnesorgeApproach,846,154
 1745074158262,1000,855,84.0349037571957,120.0,RATIO_10_7,7371,TwoApproximation,CompressionApproach,OhnesorgeApproach,719,281
 1745074168252,1000,758,90.54841162850171,129.0,RATIO_10_7,6369,TwoApproximation,CompressionApproach,OhnesorgeApproach,691,309
 1745074177290,1000,716,90.63797248541977,129.0,RATIO_10_7,4771,TwoApproximation,CompressionApproach,OhnesorgeApproach,642,359
 1745074184637,1000,1423,63.241531940387816,90.0,RATIO_10_7,10781,TwoApproximation,CompressionApproach,OhnesorgeApproach,822,179
 1745074197846,1000,1294,67.91989033152186,97.0,RATIO_10_7,10051,TwoApproximation,CompressionApproach,OhnesorgeApproach,838,163
 1745074210512,1000,1268,69.19158711117524,98.0,RATIO_10_7,11105,TwoApproximation,CompressionApproach,OhnesorgeApproach,812,188
 1745074224097,1000,656,95.83330061377548,136.0,RATIO_10_7,4256,TwoApproximation,CompressionApproach,OhnesorgeApproach,637,363
 1745074231051,1000,1131,72.47143403583665,103.0,RATIO_10_7,8754,TwoApproximation,CompressionApproach,OhnesorgeApproach,797,204
 1745074242486,1000,1564,60.41815001641393,86.0,RATIO_10_7,13814,TwoApproximation,CompressionApproach,OhnesorgeApproach,851,149
 1745074260948,1000,910,82.73189687204885,118.0,RATIO_10_7,6788,TwoApproximation,CompressionApproach,OhnesorgeApproach,720,281
 1745074270143,1000,865,83.46890805635837,119.0,RATIO_10_7,7243,TwoApproximation,CompressionApproach,OhnesorgeApproach,745,256
 1745074280044,1000,1722,57.41507752847173,82.0,RATIO_10_7,14134,TwoApproximation,CompressionApproach,OhnesorgeApproach,887,113
 1745074302369,1000,734,89.42483497640417,127.0,RATIO_10_7,6019,TwoApproximation,CompressionApproach,OhnesorgeApproach,657,344
 1745074310791,1000,1216,68.70877525994655,98.0,RATIO_10_7,12244,TwoApproximation,CompressionApproach,OhnesorgeApproach,825,176
 1745074327235,1000,563,109.12059668749305,155.0,RATIO_10_7,3406,TwoApproximation,CompressionApproach,OhnesorgeApproach,571,429
 1745074333039,1000,732,91.8356062466981,131.0,RATIO_10_7,6107,TwoApproximation,CompressionApproach,OhnesorgeApproach,674,326
 1745074341500,1000,1180,71.73458123934472,102.0,RATIO_10_7,9633,TwoApproximation,CompressionApproach,OhnesorgeApproach,800,201
 1745074353598,1000,1747,56.78194240139905,81.0,RATIO_10_7,15158,TwoApproximation,CompressionApproach,OhnesorgeApproach,885,115
 1745074371338,1000,585,103.42814085870727,147.0,RATIO_10_7,4028,TwoApproximation,CompressionApproach,OhnesorgeApproach,610,390
 1745074377837,1000,1925,54.454506661551335,77.0,RATIO_10_7,19577,TwoApproximation,CompressionApproach,OhnesorgeApproach,910,90
 1745074399906,1000,1062,74.97248504121426,107.0,RATIO_10_7,7370,TwoApproximation,CompressionApproach,OhnesorgeApproach,758,242
 1745074409793,1000,1431,62.15880746261629,88.0,RATIO_10_7,11158,TwoApproximation,CompressionApproach,OhnesorgeApproach,847,154
 1745074423402,1000,731,90.93930400216954,129.0,RATIO_10_7,5416,TwoApproximation,CompressionApproach,OhnesorgeApproach,671,329
 1745074431391,1000,1929,52.599071148703786,75.0,RATIO_10_7,22418,TwoApproximation,CompressionApproach,OhnesorgeApproach,884,116
 1745074456892,1000,1765,57.200934858024965,81.0,RATIO_10_7,15878,TwoApproximation,CompressionApproach,OhnesorgeApproach,884,117
 1745074476104,1000,1980,53.14908828735352,75.0,RATIO_10_7,19142,TwoApproximation,CompressionApproach,OhnesorgeApproach,908,93
 1745074498096,1000,550,107.350751842152,153.0,RATIO_10_7,4082,TwoApproximation,CompressionApproach,OhnesorgeApproach,548,452
